created_at,entry_id,field1,field2,field3
2018-10-28 12:50:49 UTC,372,0.15,4.64,9687.65
2018-10-28 12:51:50 UTC,373,0.15,4.64,7536.58
2018-10-28 12:52:51 UTC,374,0.15,4.64,9333.21
2018-10-28 12:53:52 UTC,375,0.16,4.14,7415.39
2018-10-28 12:54:53 UTC,376,0.15,4.64,15133.12
2018-10-28 12:55:53 UTC,377,0.16,4.14,9433.78
2018-10-28 12:56:54 UTC,378,0.16,4.64,8702.40
2018-10-28 12:57:55 UTC,379,0.15,4.64,9576.47
2018-10-28 12:58:55 UTC,380,0.16,4.64,11633.20
2018-10-28 12:59:56 UTC,381,0.16,4.64,15821.73
2018-10-28 13:00:56 UTC,382,0.16,4.64,11491.70
2018-10-28 13:01:57 UTC,383,0.16,4.64,13218.69
2018-10-28 13:02:57 UTC,384,0.16,4.64,10566.19
2018-10-28 13:03:58 UTC,385,0.16,4.64,9688.16
2018-10-28 13:04:59 UTC,386,0.16,4.39,15081.90
2018-10-28 13:05:59 UTC,387,0.16,4.39,9346.84
2018-10-28 13:07:00 UTC,388,0.16,4.39,11245.45
2018-10-28 13:08:01 UTC,389,0.16,4.39,11548.79
2018-10-28 13:09:02 UTC,390,0.16,4.39,9670.83
2018-10-28 13:10:03 UTC,391,0.16,4.39,9186.00
2018-10-28 13:11:04 UTC,392,0.16,4.39,8360.45
2018-10-28 13:12:04 UTC,393,0.16,4.39,8652.17
2018-10-28 13:13:05 UTC,394,0.16,4.39,10494.83
2018-10-28 13:14:06 UTC,395,0.18,3.64,10534.04
2018-10-28 13:15:06 UTC,396,0.16,4.64,14942.58
2018-10-28 13:16:07 UTC,397,0.16,4.39,11919.71
2018-10-28 13:17:08 UTC,398,0.16,4.39,11672.97
2018-10-28 13:18:08 UTC,399,0.16,4.39,11743.71
2018-10-28 13:19:09 UTC,400,0.17,4.39,9331.22
2018-10-28 13:20:10 UTC,401,0.17,4.39,13322.70
2018-10-28 13:21:11 UTC,402,0.18,3.64,9331.25
2018-10-28 13:22:12 UTC,403,0.17,4.39,13759.60
2018-10-28 13:23:13 UTC,404,0.17,4.39,12950.68
2018-10-28 13:24:14 UTC,405,0.17,4.39,10159.90
2018-10-28 13:25:14 UTC,406,0.17,4.39,12442.78
2018-10-28 13:26:15 UTC,407,0.17,4.39,9745.86
2018-10-28 13:27:15 UTC,408,0.17,4.39,8350.19
2018-10-28 13:28:16 UTC,409,0.19,3.89,15463.78
2018-10-28 13:29:17 UTC,410,0.17,4.39,8875.87
2018-10-28 13:30:18 UTC,411,0.18,4.39,14081.16
2018-10-28 13:31:19 UTC,412,0.18,4.14,10905.57
2018-10-28 13:32:19 UTC,413,0.17,4.39,13171.84
2018-10-28 13:33:20 UTC,414,0.17,4.39,12675.62
2018-10-28 13:34:20 UTC,415,0.18,4.39,12503.78
2018-10-28 13:35:21 UTC,416,0.17,4.39,8152.47
2018-10-28 13:36:21 UTC,417,0.19,3.64,13206.38
2018-10-28 13:37:22 UTC,418,0.19,3.64,6164.13
2018-10-28 13:38:23 UTC,419,0.18,4.39,9579.71
2018-10-28 13:39:24 UTC,420,0.19,3.64,13571.37
2018-10-28 13:40:24 UTC,421,0.18,4.39,8656.49
2018-10-28 13:41:25 UTC,422,0.18,4.39,6027.57
2018-10-28 13:42:25 UTC,423,0.18,4.39,10078.57
2018-10-28 13:43:26 UTC,424,0.18,4.39,10445.95
2018-10-28 13:44:27 UTC,425,0.18,4.39,11348.61
2018-10-28 13:45:28 UTC,426,0.18,4.39,13902.35
2018-10-28 13:46:29 UTC,427,0.18,4.39,9503.73
2018-10-28 13:47:30 UTC,428,0.21,3.64,9833.02
2018-10-28 13:48:31 UTC,429,0.19,4.14,11390.09
2018-10-28 13:49:32 UTC,430,0.18,4.39,12599.61
2018-10-28 13:50:33 UTC,431,0.20,3.89,9093.09
2018-10-28 13:51:34 UTC,432,0.18,4.39,9846.05
2018-10-28 13:52:34 UTC,433,0.18,4.39,10942.35
2018-10-28 13:53:35 UTC,434,0.18,4.39,11046.70
2018-10-28 13:54:36 UTC,435,0.19,4.39,9181.67
2018-10-28 13:55:36 UTC,436,0.18,4.39,9700.55
2018-10-28 13:56:37 UTC,437,0.18,4.39,9927.84
2018-10-28 13:57:38 UTC,438,0.20,3.64,8367.26
2018-10-28 13:58:39 UTC,439,0.19,4.14,9102.42
2018-10-28 13:59:40 UTC,440,0.19,4.39,8975.06
2018-10-28 14:00:41 UTC,441,0.20,3.89,8787.49
2018-10-28 14:01:42 UTC,442,0.19,4.39,9940.21
2018-10-28 14:02:42 UTC,443,0.19,4.39,9321.39
2018-10-28 14:03:43 UTC,444,0.19,4.39,7889.63
2018-10-28 14:04:44 UTC,445,0.19,4.39,15305.29
2018-10-28 14:05:44 UTC,446,0.19,4.39,10767.85
2018-10-28 14:06:45 UTC,447,0.19,4.39,8235.64
2018-10-28 14:07:46 UTC,448,0.19,4.39,11079.23
2018-10-28 14:10:47 UTC,449,0.19,4.39,16792.44
2018-10-28 14:11:48 UTC,450,0.21,3.89,9587.93
2018-10-28 14:12:48 UTC,451,0.19,4.39,11473.77
2018-10-28 14:13:49 UTC,452,0.20,3.89,8664.31
2018-10-28 14:14:50 UTC,453,0.20,3.64,12464.67
2018-10-28 14:15:51 UTC,454,0.19,4.39,11073.23
2018-10-28 14:16:52 UTC,455,0.19,4.39,10497.59
2018-10-28 14:17:53 UTC,456,0.20,4.39,8761.04
2018-10-28 14:18:54 UTC,457,0.19,4.39,9078.51
2018-10-28 14:19:55 UTC,458,0.21,3.89,12462.66
2018-10-28 14:20:55 UTC,459,0.19,4.39,10824.66
2018-10-28 14:21:56 UTC,460,0.20,4.39,11417.03
2018-10-28 14:22:57 UTC,461,0.20,4.39,7670.22
2018-10-28 14:23:58 UTC,462,0.20,4.39,9972.12
2018-10-28 14:24:58 UTC,463,0.20,4.39,11552.60
2018-10-28 14:25:59 UTC,464,0.20,4.39,11903.08
2018-10-28 14:26:59 UTC,465,0.20,4.39,19839.50
